"gram","observed","expected","sd","p.value"
"Bou",0.000884881778109482,-6.71772134891845e-05,0.00021566702696816,1.01250440578404e-05
"oun",0.00170996003724473,-6.71772134891845e-05,0.000215803825795844,2.22044604925031e-16
"unt",0.00164460814420406,-6.71772134891845e-05,0.000213870231661144,1.11022302462516e-15
"nto",0.000605002817073978,-6.71772134891845e-05,0.000214724108075735,0.00174547159505356
"toU",4.67677793451959e-05,-6.71772134891845e-05,0.000214148907976221,0.594668512851878
"Dou",0.000777940566175154,-6.71772134891845e-05,0.000215425446781153,8.74468271470086e-05
"oua",0.00175085793452555,-6.71772134891845e-05,0.000215285623063854,0
"uam",0.000286494147239719,-6.71772134891845e-05,0.000202040008689425,0.0800317963787818
"amk",-2.29722502349032e-05,-6.71772134891845e-05,0.000152890140038805,0.772482712338292
"mka",-7.40409099049924e-05,-6.71772134891845e-05,0.000152890140038805,0.964192599753387
"kar",0.00102226078525232,-6.71772134891845e-05,0.000214695480403801,3.88841969956033e-07
"arA",0.00275317405094561,-6.71772134891845e-05,0.000215625781354707,0
"Zou",0.000256434161199694,-6.71772134891845e-05,0.000204897900072861,0.114249224869564
"oum",0.000667557585986501,-6.71772134891845e-05,0.000215753235211498,0.000660574129374147
"uma",0.00114932122550344,-6.71772134891845e-05,0.000215273040787651,1.59558117829306e-08
"may",0.000389424297261191,-6.71772134891845e-05,0.000205927299779269,0.0266029597166351
"aye",0.000823053565453697,-6.71772134891845e-05,0.000210206321597132,2.28517805089812e-05
"yer",7.84567200556385e-05,-6.71772134891845e-05,0.000206781218222095,0.481252224628345
"erE",0.0111138598222379,-6.71772134891845e-05,0.000215505939791975,0
"man",0.00149796183188305,-6.71772134891845e-05,0.000215574521194422,3.86135567964629e-13
"anE",0.00671832329906168,-6.71772134891845e-05,0.000214680659856541,0
"oug",0.046068339518829,-6.71772134891845e-05,0.000215903059002913,0
"ugo",0.0483293660709516,-6.71772134891845e-05,0.000215901244723557,0
"gou",0.00197339518248969,-6.71772134891845e-05,0.000215744894378928,0
"mas",0.0012864549327113,-6.71772134891845e-05,0.000212851962171787,2.0241097686835e-10
"ass",0.00950968032216253,-6.71772134891845e-05,0.000215742899547028,0
"ssO",0.0414964897678623,-6.71772134891845e-05,0.000215594499437529,0
"uar",5.06533466728529e-06,-6.71772134891845e-05,0.000212938671313338,0.734410425633851
"arg",0.00164956395487781,-6.71772134891845e-05,0.000208116011054266,2.22044604925031e-16
"rgO",8.46767309652085e-05,-6.71772134891845e-05,0.000187096879008476,0.417002423876296
"ouA",0.00130389444097668,-6.71772134891845e-05,0.000210998976850316,8.1394002648949e-11
"Zor",1.17408298311469e-05,-6.71772134891845e-05,0.000199973653061942,0.693106961587773
"ora",0.000771942514193666,-6.71772134891845e-05,0.000211924855881278,7.51020059148733e-05
"ran",0.00229926196004825,-6.71772134891845e-05,0.000215246393361856,0
"ZoN",-5.76530046733936e-05,-6.71772134891845e-05,1.07563871176531e-05,0.375915687450743
"Zok",0.00315651166411246,-6.71772134891845e-05,0.000187096879008476,0
"okw",-5.79329311385501e-05,-6.71772134891845e-05,1.07563871176531e-05,0.390107396893237
"kwE",-5.79329311385501e-05,-6.71772134891845e-05,1.07563871176531e-05,0.390107396893237
"Zoi",-5.03534674309469e-05,-6.71772134891845e-05,1.07563871176531e-05,0.117801050449697
"oib",0.000646718707978824,-6.71772134891845e-05,0.000193212865646682,0.000220001556051175
"ibi",0.000148809717989389,-6.71772134891845e-05,0.000213171943545391,0.310962135301477
"biE",0.000381547240604946,-6.71772134891845e-05,0.000187096879008476,0.0164689630256463
"Zog",-0.000108848826929332,-6.71772134891845e-05,0.000187096879008476,0.823747624802628
"ogu",0.00293312073609286,-6.71772134891845e-05,0.000213098306243065,0
"gue",0.00085047432802108,-6.71772134891845e-05,0.000215594499437529,2.07765940045679e-05
"uer",0.0202995608044892,-6.71772134891845e-05,0.000215250979046843,0
"ere",0.0015333248432569,-6.71772134891845e-05,0.000215398440469323,1.08357767203415e-13
"res",0.000898570563545392,-6.71772134891845e-05,0.000210206321597132,4.34235306201458e-06
"ess",0.00530275495162446,-6.71772134891845e-05,0.00021528148115976,0
"ogo",0.0081259277199149,-6.71772134891845e-05,0.0002153808628565,0
"umE",-0.000103603544877974,-6.71772134891845e-05,0.000208647537138911,0.861407238113068
"oko",0.00123623057551157,-6.71772134891845e-05,0.000215583530495051,1.48529832877387e-09
"kof",0.0104163874704508,-6.71772134891845e-05,0.000205927299779269,0
"ofi",0.00198668895921806,-6.71772134891845e-05,0.000210760236099906,0
"fin",0.000866365160213262,-6.71772134891845e-05,0.000214086477687514,1.29714929526514e-05
"inA",0.000879880803445992,-6.71772134891845e-05,0.000215558004301921,1.11530842996643e-05
"Ziw",-5.13188980453717e-05,-6.71772134891845e-05,1.07563871176531e-05,0.140396483816643
"iwa",-8.7949619044577e-05,-6.71772134891845e-05,0.000187096879008476,0.911596629961643
"waZ",-5.13188980453717e-05,-6.71772134891845e-05,1.07563871176531e-05,0.140396483816643
"Sid",0.00153662227299042,-6.71772134891845e-05,0.000213544648492445,5.90638649100583e-14
"idi",0.00115289403156973,-6.71772134891845e-05,0.00021473793803868,1.33381681255429e-08
"dia",0.00320602196603857,-6.71772134891845e-05,0.000215472248348359,0
"ian",0.00107119045245014,-6.71772134891845e-05,0.000215530321679753,1.27986878428743e-07
