"gram","observed","expected","sd","p.value"
"Zyo",-9.44002313531622e-05,-9.33968431867003e-05,1.66167034144922e-05,0.951849554836425
"yog",-9.44002313531622e-05,-9.33968431867003e-05,1.66167034144922e-05,0.951849554836425
"ogo",0.00539922791210017,-9.33968431867003e-05,0.000413030018200497,0
"gou",0.0270937370526993,-9.33968431867003e-05,0.000414766009328773,0
"oui",0.0353966775041394,-9.33968431867003e-05,0.000413497247287936,0
"uin",0.0365787328829362,-9.33968431867003e-05,0.000413030018200497,0
"inE",0.0446980774248047,-9.33968431867003e-05,0.000412586624348978,0
"Zye",0.00011157277086022,-9.33968431867003e-05,0.000294021791707799,0.485725266989539
"yek",0.00179855010463882,-9.33968431867003e-05,0.000397818278665519,1.97655252054396e-06
"eka",0.0377711178706065,-9.33968431867003e-05,0.000413497247287936,0
"kah",0.1909754098721,-9.33968431867003e-05,0.000414897034484473,0
"ahA",0.191383553861397,-9.33968431867003e-05,0.00041492477212203,0
"yeb",0.00115457825499788,-9.33968431867003e-05,0.000403790472963433,0.00199718777459235
"eba",0.000893031262280442,-9.33968431867003e-05,0.000407723330185504,0.0155479922784967
"bat",0.000873356875618909,-9.33968431867003e-05,0.000405480655735726,0.0171155242110408
"ato",0.00725300729430883,-9.33968431867003e-05,0.000412063212401225,0
"tog",0.00148660055464429,-9.33968431867003e-05,0.00039920440822656,7.5622483523663e-05
"ogO",0.0479093516808832,-9.33968431867003e-05,0.000414170667408792,0
"Zuz",-9.63280937306765e-05,-9.33968431867003e-05,1.66167034144922e-05,0.859976676103714
"uzu",0.000796965587175602,-9.33968431867003e-05,0.000294021791707799,0.0024599959070688
"zuA",0.00196508042687439,-9.33968431867003e-05,0.000339371545731244,1.31497568389705e-09
"Zum",-0.00010710442841576,-9.33968431867003e-05,1.66167034144922e-05,0.409412423769311
"umE",0.00217719977569535,-9.33968431867003e-05,0.000391755044765279,6.79314027252076e-09
"Zue",6.9927610840286e-05,-9.33968431867003e-05,0.000379337943126847,0.666794639961645
"uez",0.00157059853369025,-9.33968431867003e-05,0.000401412258999932,3.39291108726325e-05
"ezu",-0.000132807613499495,-9.33968431867003e-05,0.000294021791707799,0.893370704085243
"zue",0.000117122048832667,-9.33968431867003e-05,0.000379337943126847,0.578919303013531
"uek",0.00314301594925898,-9.33968431867003e-05,0.000408732115045585,2.44249065417534e-15
"ekO",0.00608691219439285,-9.33968431867003e-05,0.000409331753002406,0
"uen",0.00123621218862593,-9.33968431867003e-05,0.000410259457287373,0.0011915383362886
"eno",0.00331728492634409,-9.33968431867003e-05,0.000413113681495636,2.22044604925031e-16
"nou",0.00418145128965209,-9.33968431867003e-05,0.000413438873462106,0
"oul",0.00466514678056295,-9.33968431867003e-05,0.00041444392861889,0
"ulA",0.00566483073468766,-9.33968431867003e-05,0.000409833475998581,0
"end",0.00113540333248724,-9.33968431867003e-05,0.000411133696026669,0.00280066958656588
"ndA",0.000727448308042627,-9.33968431867003e-05,0.000409331753002406,0.0449278039511931
"eko",0.0014200845413264,-9.33968431867003e-05,0.000413264943369877,0.000250005334721859
"kok",0.00200752611044097,-9.33968431867003e-05,0.000411040780564257,3.20072207182776e-07
"oko",0.00356774051561548,-9.33968431867003e-05,0.000414649847800918,0
"kor",0.00811484255244587,-9.33968431867003e-05,0.000414044330672936,0
"orE",0.00727122987502383,-9.33968431867003e-05,0.000410124793186893,0
"ZrO",-7.27233558932902e-05,-9.33968431867003e-05,1.66167034144922e-05,0.213448442257938
"Zri",8.20912925425726e-06,-9.33968431867003e-05,0.000294021791707799,0.729663691675444
"rig",5.66839430540012e-05,-9.33968431867003e-05,0.000400388699634812,0.707781161555281
"igl",0.00247996568642412,-9.33968431867003e-05,0.000388687960290501,3.57649465598797e-11
"glO",0.00705296558680935,-9.33968431867003e-05,0.00039920440822656,0
"rib",0.00122592701472383,-9.33968431867003e-05,0.000407096627297951,0.00119189532334074
"ibo",0.00350582280303762,-9.33968431867003e-05,0.000411222799219315,0
