"V1","num"
"bbw",1
"bba",35
"bbe",6
"bbi",7
"bbo",7
"bbA",47
"bbE",14
"bbI",15
"bbO",19
"bbU",2
"bch",6
"bdl",1
"bdw",1
"bda",13
"bde",4
"bdi",2
"bdo",30
"bdu",47
"bdA",12
"bdE",2
"bdI",3
"bdO",9
"bdU",34
"bgb",1
"bga",1
"bge",1
"bgu",3
"bgA",9
"bgE",1
"bgI",1
"bgO",2
"bgU",2
"bha",1
"bhi",1
"bho",1
"bhA",1
"bhI",1
"bja",1
"bje",1
"bji",1
"bjo",1
"bjA",1
"bjE",2
"bjI",5
"bjO",1
"bkl",1
"bkr",1
"bka",6
"bki",19
"bko",1
"bku",2
"bkA",7
"bkE",1
"bkI",5
"bkO",1
"bly",1
"bla",78
"ble",89
"bli",31
"blo",36
"blu",8
"blY",3
"blA",37
"blE",77
"blI",651
"blO",14
"blU",3
"bma",10
"bnr",1
"bny",1
"bna",4
"bnu",1
"bnA",2
"bnI",1
"bnU",2
"bpl",1
"bpa",1
"bpA",1
"brw",2
"bry",1
"bra",86
"bre",49
"bri",66
"bro",34
"bru",33
"brA",63
"brE",62
"brI",47
"brO",19
"brU",14
"bsh",1
"bsw",1
"bsa",3
"bse",7
"bsi",3
"bso",3
"bsu",2
"bsA",4
"bsE",5
"bsI",5
"bsU",1
"bty",1
"bta",10
"bte",12
"bti",2
"bto",1
"btA",7
"btE",1
"btI",3
"btO",1
"bve",3
"bvi",1
"bvA",1
"bwa",87
"bwe",70
"bwi",22
"bwo",6
"bwA",98
"bwE",60
"bwI",5
"bwO",37
"bya",15
"bye",4
"byi",4
"byo",2
"byu",3
"byA",12
"byE",8
"bza",3
"bze",1
"bzi",2
"bzo",1
"bzu",5
"bzA",1
"bab",231
"bac",29
"bad",342
"baf",65
"bag",241
"bah",58
"baj",144
"bak",466
"bal",651
"bam",175
"ban",953
"bap",29
"baq",8
"bar",736
"bas",228
"bat",275
"bav",21
"baw",147
"bay",283
"baz",43
"baa",18
"bae",13
"bai",126
"bao",63
"bau",19
"baB",4
"baG",1
"baH",16
"baK",32
"baL",56
"baM",54
"baN",168
"baP",9
"baR",69
"baS",38
"baT",15
"baW",16
"baY",24
"baZ",1
"baA",11
"baE",1
"baI",86
"baO",28
"baU",14
"beb",72
"bec",11
"bed",177
"bef",12
"beg",103
"beh",45
"bej",63
"bek",139
"bel",327
"bem",108
"ben",709
"bep",16
"beq",1
"ber",462
"bes",111
"bet",130
"bev",15
"bew",30
"bey",65
"bez",18
"bea",38
"bee",7
"bei",34
"beo",20
"beu",30
"beG",2
"beH",19
"beK",3
"beL",143
"beM",15
"beN",60
"beP",1
"beR",112
"beS",13
"beT",4
"beV",2
"beX",1
"beY",43
"beA",13
"beE",11
"beI",8
"beO",2
"beU",19
"bib",35
"bic",12
"bid",70
"bif",5
"big",55
"bih",6
"bij",56
"bik",87
"bil",209
"bim",36
"bin",267
"bip",4
"bir",281
"bis",97
"bit",66
"biv",2
"biw",7
"biy",55
"biz",11
"bia",213
"bie",63
"bii",3
"bio",68
"biu",4
"biB",2
"biD",1
"biJ",1
"biK",4
"biL",16
"biM",1
"biN",60
"biR",22
"biS",12
"biT",8
"biA",162
"biE",39
"biO",86
"biU",5
"bob",96
"boc",12
"bod",179
"bof",18
"bog",200
"boh",52
"boj",66
"bok",308
"bol",268
"bom",145
"bon",490
"bop",18
"bor",398
"bos",112
"bot",112
"bov",14
"bow",36
"box",3
"boy",90
"boz",14
"boa",73
"boe",21
"boi",57
"boo",8
"boD",1
"boF",4
"boG",2
"boH",12
"boK",11
"boL",36
"boM",53
"boN",243
"boR",64
"boS",10
"boT",28
"boY",15
"boZ",1
"boA",52
"boE",12
"boI",40
"boO",4
"boU",64
"bub",69
"buc",12
"bud",91
"buf",12
"bug",1422
"buh",6
"buj",29
"buk",144
"bul",302
"bum",57
"bun",211
"bup",8
"buq",1
"bur",311
"bus",63
"but",91
"buw",27
"buy",47
"buz",11
"bua",37
"bue",15
"bui",17
"buo",46
"buu",3
"buH",1
"buK",9
"buL",56
"buM",36
"buN",34
"buP",2
"buR",43
"buS",9
"buT",9
"buY",1
"buA",29
"buE",6
"buI",7
"buO",7
"buU",3
"cba",1
"cbA",1
"cch",1
"ccr",3
"cdo",2
"cgb",2
"cgi",2
"cgo",1
"chb",4
"chc",4
"chg",1
"chk",5
"chl",3
"chm",2
"chr",12
"chs",1
"chv",1
"chw",23
"chy",8
"cha",376
"che",284
"chi",614
"cho",101
"chu",121
"chA",484
"chE",182
"chI",466
"chO",58
"chU",59
"cja",1
"ckb",1
"ckc",1
"ckg",2
"ckl",2
"ckm",1
"ckp",2
"cks",6
"ckt",2
"cky",1
"cka",1
"cke",11
"cki",5
"cko",2
"cku",4
"ckS",1
"ckY",1
"ckA",9
"ckE",3
"ckI",2
"ckO",1
"cla",4
"cle",3
"cli",2
"clE",1
"clI",1
"clO",1
"cni",1
"cpo",1
"cqu",2
"cra",4
"cre",2
"cri",1
"cro",3
"cru",1
"crA",5
"crE",2
"crI",1
"crU",1
"csi",3
"csI",1
"ctr",1
"cta",1
"cti",26
"cto",6
"ctA",1
"ctO",1
"cwa",1
"dbl",1
"dba",1
"dbe",1
"dbi",2
"dbo",1
"dbu",1
"dbE",1
"dbO",2
"dch",2
"ddl",3
"dda",12
"dde",9
"ddi",6
"ddo",3
"ddu",2
"ddA",29
"ddE",13
"ddI",13
"ddO",8
"ddU",9
"dfe",1
"dfo",1
"dfu",1
"dgb",1
"dgh",1
"dga",2
"dge",3
"dgi",1
"dgo",1
"dgu",2
"dgA",5
"dgE",5
"dgI",1
"dgO",4
"dhw",1
"dhe",3
"dhi",3
"dhu",1
"dhE",2
"dhI",2
"dhO",1
"dhU",1
"djl",1
"djm",1
"djr",9
"djw",9
"djy",3
"dja",125
"dje",81
"djo",73
"dju",16
"djA",40
"djE",66
"djO",51
"djU",7
"dkr",1
"dkw",1
"dka",2
"dke",1
"dki",1
"dko",2
"dkO",2
"dla",3
"dle",3
"dlo",2
"dlu",2
"dlA",9
"dlE",5
"dlO",1
"dma",2
"dmi",1
"dmo",2
"dmu",1
"dmA",1
"dmI",1
"dnd",1
"dny",2
"dna",4
"dne",1
"dni",1
"dno",4
"dnA",28
"dnE",1
"dnI",3
"dph",1
"dpa",1
"dra",30
"dre",17
"dri",24
"dro",17
"dru",8
"drA",12
"drE",18
"drI",17
"drO",15
"drU",19
"dsm",1
"dsv",3
"dsw",1
"dsa",1
"dse",1
"dsE",1
"dsI",4
"dsU",2
"dte",3
"dto",1
"dtA",3
"dtI",1
"dwh",1
"dwa",23
"dwe",15
"dwi",4
"dwo",4
"dwA",34
"dwE",6
"dwI",2
"dwO",17
"dzl",1
"dzr",2
"dzw",1
"dza",10
"dze",7
"dzi",9
"dzo",5
"dzu",9
"dzA",5
"dzE",6
"dzI",32
"dzO",2
"dzU",1
"dab",144
"dac",9
"dad",83
"daf",39
"dag",194
"dah",42
"daj",65
"dak",186
"dal",242
"dam",249
"dan",338
"dap",19
"daq",1
"dar",265
"das",59
"dat",62
"dav",12
"daw",183
"day",81
"daz",5
"daa",2
"dae",1
"dai",38
"dao",42
"dau",17
"daD",2
"daF",1
"daH",12
"daK",9
"daL",18
"daM",88
"daN",1546
"daR",34
"daS",5
"daT",6
"daV",2
"daW",17
"daY",17
"daA",4
"daE",5
"daI",17
"daO",38
"daU",13
"deb",115
"dec",6
"ded",52
"def",20
"deg",128
"deh",37
"dej",31
"dek",118
"del",109
"dem",153
"den",196
"dep",29
"deq",1
"der",213
"des",36
"det",43
"dev",8
"dew",31
"dey",108
"dez",7
"dea",14
"dee",7
"dei",29
"deo",27
"deu",12
"deG",1
"deH",20
"deK",4
"deL",43
"deM",88
"deN",59
"deP",4
"deR",31
"deS",3
"deT",16
"deV",4
"deY",41
"deZ",1
"deA",18
"deE",15
"deI",14
"deO",4
"deU",7
"dib",118
"dic",6
"did",68
"dif",28
"dig",157
"dih",10
"dij",28
"dik",129
"dil",65
"dim",136
"din",559
"dip",12
"diq",5
"dir",114
"dis",31
"dit",28
"div",9
"diw",15
"diy",53
"diz",8
"diB",1
"diD",2
"diF",1
"diK",11
"diL",7
"diM",53
"diN",65
"diR",13
"diS",2
"diT",2
"dob",80
"doc",3
"dod",37
"dof",38
"dog",182
"doh",17
"doj",18
"dok",138
"dol",88
"dom",149
"don",154
"dop",10
"dor",151
"dos",34
"dot",25
"dov",10
"dow",41
"doy",31
"doz",3
"doa",9
"doi",11
"doo",9
"dou",2
"doF",1
"doH",3
"doK",8
"doL",9
"doM",36
"doN",60
"doP",2
"doR",30
"doS",3
"doT",9
"doW",3
"doY",1
"doA",6
"doE",3
"doI",3
"doO",5
"doU",289
"dub",101
"duc",7
"dud",59
"duf",20
"dug",921
"duh",13
"duj",10
"duk",180
"dul",91
"dum",204
"dun",163
"dup",12
"dur",155
"dus",25
"dut",24
"duv",6
"duw",37
"duy",29
"duz",3
"dua",43
"due",11
"dui",5
"duo",17
"duu",2
"duB",2
"duF",3
"duK",12
"duL",16
"duM",67
"duN",145
"duP",2
"duR",12
"duS",4
"duT",2
"duA",49
"duE",7
"duI",4
"duO",7
"fbU",1
"fch",2
"fde",1
"fdi",1
"fdI",1
"ffl",1
"ffm",1
"ffr",1
"ffw",1
"ffa",5
"ffe",14
"ffi",61
"ffo",23
"ffu",6
"ffS",2
"ffA",32
"ffE",6
"ffI",54
"ffO",7
"ffU",11
"fgh",1
"fha",1
"fja",1
"fka",1
"fki",1
"fku",2
"fkA",2
"fla",17
"fle",9
"fli",1
"flo",3
"flu",2
"flA",161
"flE",7
"flO",1
"fma",1
"fnd",1
"fng",1
"fny",1
"fna",1
"fno",1
"fpE",1
"fra",33
"fre",15
"fri",10
"fro",12
"fru",3
"frA",18
"frE",9
"frI",7
"frO",10
"frU",2
"fsi",1
"fsO",2
"fta",4
"fte",3
"fti",1
"fto",2
"ftu",1
"ftA",4
"ftI",1
"fwh",1
"fwa",13
"fwe",13
"fwi",5
"fwo",2
"fwA",15
"fwE",21
"fwI",6
"fwO",2
"fya",3
"fye",3
"fyo",1
"fyA",2
"fyE",1
"fab",27
"fac",6
"fad",79
"faf",27
"fag",32
"fah",35
"faj",21
"fak",40
"fal",84
"fam",23
"fan",138
"fap",3
"faq",1
"far",261
"fas",38
"fat",53
"fav",1
"faw",31
"fay",37
"faz",1
"faa",1
"fae",1
"fai",25
"fao",3
"faC",1
"faF",2
"faH",3
"faK",2
"faL",13
"faM",13
"faN",52
"faP",1
"faR",14
"faS",2
"faT",10
"faW",2
"faY",3
"faI",18
"faO",8
"feb",14
"fec",1
"fed",12
"fef",4
"feg",10
"feh",5
"fej",7
"fek",15
"fel",43
"fem",13
"fen",53
"fer",76
"fes",21
"fet",23
"fev",2
"few",7
"fey",5
"fee",1
"fei",2
"feo",2
"feH",1
"feL",9
"feM",1
"feN",9
"feR",4
"feS",1
"feT",5
"feY",3
"feA",4
"feE",2
"feO",1
"feU",2
"fib",7
"fid",32
"fif",5
"fig",20
"fih",2
"fij",3
"fik",82
"fil",52
"fim",8
"fin",160
"fip",2
"fir",21
"fis",13
"fit",24
"fiv",1
"fiw",3
"fiy",20
"fia",61
"fie",26
"fio",19
"fiu",2
"fiF",1
"fiG",2
"fiL",3
"fiM",5
"fiN",160
"fiR",3
"fiS",3
"fiA",126
"fiE",31
"fiO",8
"fob",3
"foc",1
"fod",28
"fof",9
"fog",31
"foh",1
"foj",7
"fok",38
"fol",51
"fom",8
"fon",69
"fop",1
"for",100
"fos",14
"fot",14
"fov",1
"fow",4
"foy",19
"foz",3
"foa",10
"foe",5
"foi",9
"foo",10
"foK",5
"foL",4
"foM",4
"foN",63
"foR",28
"foS",1
"foT",11
"foA",21
"foE",3
"foI",4
"foO",1
"foU",16
"fub",1
"fuc",2
"fud",16
"fuf",12
"fug",21
"fuh",2
"fuj",4
"fuk",32
"ful",65
"fum",24
"fun",84
"fup",1
"fur",66
"fus",6
"fut",35
"fuv",2
"fuw",7
"fuy",9
"fuz",2
"fua",9
"fue",3
"fui",2
"fuo",8
"fuK",3
"fuL",11
"fuM",4
"fuN",24
"fuR",15
"fuS",2
"fuT",8
"fuA",9
"fuE",2
"fuI",2
"fuO",5
"gbl",56
"gbr",11
"gbw",38
"gby",3
"gba",772
"gbe",918
"gbi",128
"gbo",639
"gbu",132
"gbA",305
"gbE",331
"gbI",14
"gbO",310
"gbU",43
"gch",2
"gdg",1
"gdw",1
"gda",8
"gde",4
"gdi",5
"gdo",3
"gdu",5
"gdA",4
"gdE",4
"gdI",5
"gdO",3
"gdU",2
"gfr",1
"gfa",5
"gfi",1
"gfo",1
"gfu",1
"gfA",3
"ggb",1
"ggl",1
"ggm",1
"ggw",1
"gga",17
"gge",3
"ggi",2
"ggo",6
"ggu",15
"ggS",4
"ggA",30
"ggE",10
"ggI",11
"ggO",14
"ggU",2
"ghb",7
"ghc",2
"ghf",1
"ghg",5
"ghk",4
"ghl",2
"ghm",1
"ghn",2
"ghp",1
"ghr",2
"ghs",2
"ght",11
"ghv",2
"ghw",13
"ghy",1
"ghz",2
"gha",78
"ghe",71
"ghi",25
"gho",54
"ghu",32
"ghT",4
"ghA",65
"ghE",22
"ghI",10
"ghO",42
"ghU",12
"gja",6
"gje",4
"gji",2
"gjo",1
"gju",2
"gjE",1
"gjI",1
"gkh",1
"gkp",3
"gkr",1
"gkw",2
"gka",8
"gke",5
"gki",6
"gko",12
"gku",9
"gkA",5
"gkE",1
"gkO",3
"gla",42
"gle",20
"gli",15
"glo",22
"glu",3
"glA",15
"glE",19
"glI",16
"glO",27
"glU",2
"gma",13
"gme",1
"gmo",7
"gmu",1
"gmA",19
"gmE",1
"gmI",3
"gnd",1
"gnr",3
"gnt",1
"gny",15
"gnY",2
"gnI",6
"gpl",1
"gpr",1
"gpa",13
"gpe",11
"gpi",3
"gpo",4
"gpu",1
"gpA",2
"gpE",4
"gpU",1
"gra",33
"gre",45
"gri",30
"gro",14
"gru",11
"grA",16
"grE",43
"grI",25
"grO",12
"grU",3
"gsd",1
"gsh",5
"gsr",1
"gsv",1
"gsa",5
"gse",8
"gsi",1
"gso",7
"gsu",1
"gsA",4
"gsE",1
"gsI",1
"gsO",6
"gsU",1
"gtc",1
"gta",6
"gte",7
"gti",4
"gto",13
"gtu",4
"gtA",4
"gtI",1
"gtO",3
"gva",1
"gve",1
"gvi",2
"gvo",1
"gvu",1
"gvN",1
"gwr",1
"gwa",1022
"gwe",123
"gwi",83
"gwo",39
"gwu",30
"gwA",165
"gwE",88
"gwI",16
"gwO",21
"gwU",52
"gyw",1
"gya",22
"gye",14
"gyi",3
"gyo",5
"gyu",7
"gyA",11
"gyE",11
"gyI",3
"gyO",6
"gyU",4
"gza",1
"gzi",2
"gzo",3
"gzu",3
"gzA",1
"gzE",2
"gzO",1
"gzU",1
"gab",192
"gac",7
"gad",201
"gaf",26
"gag",73
"gah",31
"gaj",183
"gak",71
"gal",340
"gam",199
"gan",476
"gap",21
"gaq",1
"gar",574
"gas",130
"gat",128
"gav",12
"gaw",101
"gay",119
"gaz",45
"gaa",3
"gae",3
"gai",50
"gao",26
"gau",9
"gaB",1
"gaD",2
"gaG",2
"gaH",3
"gaL",95
"gaM",32
"gaN",504
"gaP",4
"gaR",105
"gaS",11
"gaT",8
"gaV",1
"gaW",6
"gaY",27
"gaA",3
"gaE",3
"gaI",42
"gaO",23
"gaU",18
"geb",16
"gec",1
"ged",48
"gef",3
"geg",16
"geh",7
"gej",6
"gek",29
"gel",90
"gem",51
"gen",59
"gep",4
"ger",107
"ges",23
"get",21
"gev",6
"gew",4
"gey",12
"gez",9
"gea",8
"gee",3
"gei",12
"geo",4
"geu",3
"geD",1
"geF",1
"geH",5
"geK",1
"geL",74
"geM",7
"geN",60
"geP",1
"geR",28
"geS",5
"geV",1
"geY",6
"geA",3
"geE",12
"geI",2
"gib",20
"gic",2
"gid",70
"gif",2
"gig",12
"gih",2
"gij",13
"gik",11
"gil",42
"gim",19
"gin",64
"gip",2
"gir",100
"gis",22
"git",14
"giv",2
"giw",8
"giy",18
"giz",15
"gia",20
"gie",21
"gii",1
"gio",5
"giu",1
"giD",3
"giF",1
"giL",9
"giM",8
"giN",33
"giR",18
"giT",1
"giA",25
"giE",13
"giI",4
"giO",2
"gob",101
"goc",3
"god",129
"gof",25
"gog",78
"goh",28
"goj",52
"gok",99
"gol",273
