"V1","V2"
"bbw",NA
"bba",0.0993809058325187
"bbe",NA
"bbi",NA
"bbo",NA
"bbA",0.100377658517193
"bbE",0.0925925925925926
"bbI",NA
"bbO",0.101525054466231
"bbU",NA
"bch",NA
"bdl",NA
"bdw",NA
"bda",0.112794612794613
"bde",NA
"bdi",NA
"bdo",0.0958485958485959
"bdu",0.112489233419466
"bdA",0.111111111111111
"bdE",NA
"bdI",NA
"bdO",0.111111111111111
"bdU",0.0991161616161616
"bgb",NA
"bga",NA
"bge",NA
"bgu",0.111111111111111
"bgA",NA
"bgE",NA
"bgI",NA
"bgO",NA
"bgU",NA
"bha",NA
"bhi",NA
"bho",NA
"bhA",NA
"bhI",NA
"bja",NA
"bje",NA
"bji",NA
"bjo",NA
"bjA",NA
"bjE",NA
"bjI",0.111111111111111
"bjO",NA
"bkl",NA
"bkr",NA
"bka",NA
"bki",0.0605664488017429
"bko",NA
"bku",NA
"bkA",0.111111111111111
"bkE",NA
"bkI",NA
"bkO",NA
"bly",NA
"bla",0.0984448356807512
"ble",0.153886915835165
"bli",0.104469987228608
"blo",0.0788157108721625
"blu",NA
"blY",NA
"blA",0.112265512265512
"blE",0.176726311653988
"blI",0.50310362012906
"blO",NA
"blU",NA
"bma",0.0864197530864197
"bnr",NA
"bny",NA
"bna",NA
"bnu",NA
"bnA",NA
"bnI",NA
"bnU",NA
"bpl",NA
"bpa",NA
"bpA",NA
"brw",NA
"bry",NA
"bra",0.093752652576182
"bre",0.112096138691883
"bri",0.0997834144396415
"bro",0.0763532763532764
"bru",0.106625258799172
"brA",0.105060047544071
"brE",0.0974025974025974
"brI",0.139887319925831
"brO",0.0871459694989107
"brU",0.0925925925925926
"bsh",NA
"bsw",NA
"bsa",NA
"bse",NA
"bsi",NA
"bso",NA
"bsu",NA
"bsA",NA
"bsE",NA
"bsI",NA
"bsU",NA
"bty",NA
"bta",NA
"bte",NA
"bti",NA
"bto",NA
"btA",NA
"btE",NA
"btI",NA
"btO",NA
"bve",0.111111111111111
"bvi",NA
"bvA",NA
"bwa",0.058258491094312
"bwe",0.134517215162376
"bwi",NA
"bwo",NA
"bwA",0.194167169496882
"bwE",0.0963747059637471
"bwI",NA
"bwO",0.0739501214735485
"bya",0.115995115995116
"bye",NA
"byi",NA
"byo",NA
"byu",NA
"byA",NA
"byE",0.0952380952380952
"bza",NA
"bze",NA
"bzi",NA
"bzo",NA
"bzu",0.111111111111111
"bzA",NA
"bab",0.190441227886162
"bac",0.113086419753086
"bad",0.130378601886549
"baf",0.103367003367003
"bag",0.130536838221334
"bah",0.101529464687359
"baj",0.110793338486403
"bak",0.114238166129596
"bal",0.136814671814672
"bam",0.0987323545574807
"ban",0.218994288237198
"bap",0.105232216343327
"baq",NA
"bar",0.129804178666374
"bas",0.134901145106459
"bat",0.118249458623097
"bav",0.0814814814814815
"baw",0.160560951778838
"bay",0.172434164268074
"baz",0.107956613525515
"baa",0.0888888888888889
"bae",0.111111111111111
"bai",0.167796098717534
"bao",0.1058009941033
"bau",NA
"baB",0.037037037037037
"baG",NA
"baH",0.113227513227513
"baK",0.235063816459165
"baL",0.108420386198164
"baM",0.133006148913772
"baN",0.0942661411411411
"baP",0.0846560846560847
"baR",0.0960483976884686
"baS",0.104992351550549
"baT",0.0854700854700855
"baW",NA
"baY",0.0905982905982906
"baZ",NA
"baA",NA
"baE",NA
"baI",0.249233102840485
"baO",0.113535353535354
"baU",NA
"beb",0.103962418300654
"bec",NA
"bed",0.101945161852996
"bef",NA
"beg",0.106025703963848
"beh",0.10840967817712
"bej",0.0778463648834019
"bek",0.0976782032451367
"bel",0.12971102755565
"bem",0.166807447295252
"ben",0.465455708135174
"bep",0.0978835978835979
"beq",NA
"ber",0.177925084175084
"bes",0.130183602405825
"bet",0.0940870286282326
"bev",NA
"bew",NA
"bey",0.0846242634104854
"bez",NA
"bea",0.100433767100434
"bee",NA
"bei",0.112647209421403
"beo",NA
"beu",0.137777777777778
"beG",NA
"beH",0.103367003367003
"beK",NA
"beL",0.150792540088927
"beM",NA
"beN",0.0882070573483023
"beP",NA
"beR",0.184932859399684
"beS",0.0909090909090909
"beT",NA
"beV",NA
"beX",NA
"beY",0.11172462785366
"beA",NA
"beE",NA
"beI",NA
"beO",NA
"beU",0.183346065699007
"bib",0.112352832965416
"bic",NA
"bid",0.104545985060691
"bif",NA
"big",0.110447100486941
"bih",NA
"bij",0.111195499296765
"bik",0.0880133119391454
"bil",0.117307391417228
"bim",0.101010101010101
"bin",0.0971594040667406
"bip",NA
"bir",0.398498246093876
"bis",0.141234319814882
"bit",0.11225230833074
"biv",NA
"biw",NA
"biy",0.104534056809307
"biz",NA
"bia",0.395789947051203
"bie",0.105263157894737
"bii",NA
"bio",0.2
"biu",NA
"biB",NA
"biD",NA
"biJ",NA
"biK",0.111111111111111
"biL",NA
"biM",NA
"biN",0.0972222222222222
"biR",NA
"biS",0.115151515151515
"biT",0.148148148148148
"biA",0.166088086565835
"biE",0.175645342312009
"biO",0.237151613036816
"biU",NA
"bob",0.115520282186949
"boc",0.113131313131313
"bod",0.132997698711567
"bof",NA
"bog",0.113306870705587
"boh",0.100303951367781
"boj",0.108533687729048
"bok",0.407977192111292
"bol",0.0928136479698233
"bom",0.132674615660795
"bon",0.204767716093232
"bop",0.112745098039216
"bor",0.120408350353724
"bos",0.12689713415786
"bot",0.110579893854244
"bov",0.111111111111111
"bow",0.112182095988805
"box",NA
"boy",0.104073075771189
"boz",NA
"boa",0.0943013806952378
"boe",0.112487100103199
"boi",0.101670297748729
"boo",0.116402116402116
"boD",NA
"boF",NA
"boG",NA
"boH",0.0888888888888889
"boK",0.074074074074074
"boL",0.105367399485047
"boM",0.235512435512436
"boN",0.20233741310403
"boR",0.135795301833038
"boS",0.111111111111111
"boT",0.166218637992832
"boY",0.114478114478114
"boZ",NA
"boA",0.0934634723454599
"boE",0.111111111111111
"boI",0.073015873015873
"boO",NA
"boU",0.108550947260625
"bub",0.101275195392842
"buc",0.0888888888888889
"bud",0.104063764637092
"buf",NA
"bug",0.54591024139625
"buh",NA
"buj",0.10479375696767
"buk",0.12932138284251
"bul",0.133981967537995
"bum",0.111720983419097
"bun",0.134420633904502
"bup",0.118518518518519
"buq",NA
"bur",0.103772767627054
"bus",0.103367826148168
"but",0.101481481481481
"buw",NA
"buy",0.114067504311407
"buz",NA
"bua",0.0967078189300412
"bue",0.0976800976800977
"bui",0.103133903133903
"buo",0.115102799650044
"buu",NA
"buH",NA
"buK",NA
"buL",0.111823361823362
"buM",0.110294117647059
"buN",0.198421975452951
"buP",NA
"buR",0.102878710169514
"buS",NA
"buT",0.123015873015873
"buY",NA
"buA",0.114289750653387
"buE",NA
"buI",NA
"buO",NA
"buU",NA
"cba",NA
"cbA",NA
"cch",NA
"ccr",0
"cdo",NA
"cgb",NA
"cgi",NA
"cgo",NA
"chb",NA
"chc",NA
"chg",NA
"chk",NA
"chl",NA
"chm",NA
"chr",0.0727272727272728
"chs",NA
"chv",NA
"chw",0.102453102453102
"chy",NA
"cha",0.138974846302224
"che",0.173788101084095
"chi",0.206311512007029
"cho",0.0951289174504357
"chu",0.118333484027761
"chA",0.513561623304824
"chE",0.142410965353981
"chI",0.179827772631373
"chO",0.104202648244099
"chU",0.221123340321454
"cja",NA
"ckb",NA
"ckc",NA
"ckg",NA
"ckl",NA
"ckm",NA
"ckp",NA
"cks",NA
"ckt",NA
"cky",NA
"cka",NA
"cke",0.091358024691358
"cki",NA
"cko",NA
"cku",NA
"ckS",NA
"ckY",NA
"ckA",NA
"ckE",NA
"ckI",NA
"ckO",NA
"cla",0.111111111111111
"cle",NA
"cli",NA
"clE",NA
"clI",NA
"clO",NA
"cni",NA
"cpo",NA
"cqu",NA
"cra",NA
"cre",NA
"cri",NA
"cro",NA
"cru",NA
"crA",0.037037037037037
"crE",NA
"crI",NA
"crU",NA
"csi",NA
"csI",NA
"ctr",NA
"cta",NA
"cti",0.108695652173913
"cto",NA
"ctA",NA
"ctO",NA
"cwa",NA
"dbl",NA
"dba",NA
"dbe",NA
"dbi",NA
"dbo",NA
"dbu",NA
"dbE",NA
"dbO",NA
"dch",NA
"ddl",NA
"dda",NA
"dde",NA
"ddi",NA
"ddo",NA
"ddu",NA
"ddA",0.111992945326279
"ddE",0.112794612794613
"ddI",0.111111111111111
"ddO",NA
"ddU",0.0833333333333333
"dfe",NA
"dfo",NA
"dfu",NA
"dgb",NA
"dgh",NA
"dga",NA
"dge",NA
"dgi",NA
"dgo",NA
"dgu",NA
"dgA",NA
"dgE",0.037037037037037
"dgI",NA
"dgO",NA
"dhw",NA
"dhe",NA
"dhi",NA
"dhu",NA
"dhE",NA
"dhI",NA
"dhO",NA
"dhU",NA
"djl",NA
"djm",NA
"djr",NA
"djw",0.0674603174603175
"djy",NA
"dja",0.280455648138382
"dje",0.125805258753236
"djo",0.129314092585581
"dju",NA
"djA",0.146580047789725
"djE",0.14300903774588
"djO",0.155215952629746
"djU",0.111111111111111
"dkr",NA
"dkw",NA
"dka",NA
"dke",NA
"dki",NA
"dko",NA
"dkO",NA
"dla",NA
"dle",NA
"dlo",NA
"dlu",NA
"dlA",NA
"dlE",NA
"dlO",NA
"dma",NA
"dmi",NA
"dmo",NA
"dmu",NA
"dmA",NA
"dmI",NA
"dnd",NA
"dny",NA
