"geonameid","group","NamE","longitude","latitude"
"10233282",6,"KissiplaY",-926965.521429041,807683.020976687
"10300611",2,"DaliforT",-1895161.56557725,1651520.03358979
"10300858",4,"BongO SapH",-389537.905727547,608559.438190493
"10340309",2,"DjonabA",-1365144.76323917,1790876.14282907
"10340354",2,"PeL MaoudE",-356606.32733695,1558525.45665989
"10342640",3,"MadoubA",-420880.188559348,1473844.74569609
"10342749",5,"GounghiN",-16451.9233961553,1334461.19164746
"10342750",5,"NasserE",-149398.282690093,1474726.47872008
"10343395",3,"N'dorolA",-529037.423669279,1302802.16919623
"10343714",7,"KoutougoU",-259455.029573489,1355123.45368274
"10343799",1,"GbomblorA",-324892.066539489,1135851.66444295
"10343847",3,"EssakanE",-392834.206745599,1857460.52800675
"10345675",2,"HawA DembayA",-1238699.39054493,1600296.23369156
"10345677",2,"SamE DiombomA",-1283643.51264796,1605063.07471887
"10345886",3,"BacodjicoronI",-878991.25364461,1397563.23141299
"10345989",3,"Nema-BadenyakafO",-525966.553521636,1537196.0851211
"10346213",3,"KarakorO",-1272214.59354354,1701081.79541303
"10346216",3,"DjeleboU",-1260266.82981373,1666284.44313625
"10346345",2,"ConsadO",-1811118.96408623,2340138.27709253
"10376551",6,"KakossA",-1468977.37450556,1052623.63561249
"10376950",7,"GadougoU I",-1073856.41678134,1398788.06623663
"10376951",7,"GadougoU II",-1040886.61208728,1398130.41748685
"10377060",3,"BranchE dE KokrenoU",-584639.622705552,751055.025353113
"10400442",7,"GomitradougoU",-912308.740389321,1603554.68319027
"10942933",3,"KambO EcoM",-638088.162247539,1177016.60069044
"10942935",3,"MossinkorE",-456587.434160157,1603514.00825316
"10942949",3,"ForgO SourhaI",-16238.5483674254,1821287.50074585
"10942951",3,"SirifilA BoundY",-651771.723563883,1592386.25093508
"11002343",3,"BadialaN",-879563.329567758,1403790.83318222
"11002355",7,"DjelibougoU",-870823.215718723,1408365.52333133
"11002360",3,"LowoL GueoU",-415138.081846236,1637379.23001308
"11002361",7,"N'GolobougoU",-735611.22931273,1349323.18679217
"11002409",2,"KambA SindE",-372708.340542169,1595903.20029572
"11002868",2,"NinefechA",-1348469.95515501,1397339.96335385
"11002871",2,"CitE AvioN",-1903111.07885565,1653425.2034633
"11002905",2,"BoucottE OuesT",-1783146.13261507,1409467.34514435
"11009418",9,"TevragH ZeinA",-1719993.44138414,2027608.55539037
"11072095",2,"NdiandanE",-1621805.74704055,1855964.5716579
"11101612",2,"GolF suD",-1895619.16786307,1658725.25377963
"11101615",2,"SaM notairE",-1892367.0642886,1659198.03199979
