"id","group","geonameid","name","asciiname","alternatenames","feature_class","feature_code","longitude","latitude"
"1",8,1529079,"wutonggoU","Wutonggou","Khuduk Utungou,Utungou Well,Wu-t'ung-kou,Wu-t’ung-kou,Wutonggou,wu tong gou,梧桐沟","P","PPL",7024058.92557297,6073675.01372524
"10",1,1529579,"borulshaN","Bor Ul Shan","Bor Ul Shan,Pao-erh-wu-la Shan","T","MTS",6947631.38054336,6175026.00379247
"1000",2,2037144,"gunholoI","Gun Holoi","Gun Holoi,Kung-ho-lai","P","PPL",4956870.27474419,5463941.53384888
"1001",1,2037147,"guliyashaN","Guliya Shan","Guliya Shan,Ku-li-ya Shan,gu li ya shan,古利牙山","T","MT",4520888.74398896,6294850.0725108
"1003",32,2037155,"guilergoL","Guiler Gol","Guiler Gol,Kuei-erh Ho,Kuei-liu Ho,Kuiliu Ho,Kuireru Ho","H","STM",4824891.03694093,5865335.93810326
"1005",1,2037177,"guantunpU","Guantunpu","Guantunpu,Kuan-t'un-p'u,Kuan-t’un-p’u","P","PPL",5922142.13242626,5452181.81723858
"1006",4,2037196,"guangxingyuaN","Guangxingyuan","Guangxingyuan,Kuang-hsing-yuan,Kuang-hsing-yüan","P","PPL",5406135.19001448,5627408.99950687
"1007",8,2037204,"guangdegonG","Guangdegong","Guangdegong,Kuang-te-kung,Kuang-te-kung-ts'un,Kuang-te-kung-ts’un","P","PPL",5330522.90821132,5590715.50517858
"1008",8,2037205,"guandongpuzI","Guandongpuzi","Guandongpuzi,Kuan-tung-p'u-tzu,Kuan-tung-p’u-tzu","P","PPL",5333524.63746558,5574591.81824767
"1012",8,2037224,"gongyefU","Gongyefu","Gongyefu,K'o-la-ch'in-yu-ch'i,Kung-yeh-fu,K’o-la-ch’in-yu-ch’i","P","PPL",5397516.08420598,5475558.56921037
"1013",3,2037232,"gongmiaO","Gongmiao","Gongmiao,Gongmiao Xiang,Gongmiaozi,Kung-miao,Kung-miao-tzu","P","PPL",6256273.99794955,5633836.57855822
"1014",15,2037233,"gonglamA","Gonglama","Gonglama,Kung-la-ma","P","PPL",6026707.62983827,5534572.90600963
"1015",8,2037234,"gongjitanG","Gongjitang","","P","PPL",5899435.15865064,5665579.36624115
