"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code"
1529079,"Wutonggou","Wutonggou","Khuduk Utungou,Utungou Well,Wu-t'ung-kou,Wu-t’ung-kou,Wutonggou,wu tong gou,梧桐沟",40.7189,98.6114,"P","PPL"
1529135,"Tianshuijing","Tianshuijing","",42.43333,97.56667,"P","PPL"
1529198,"Shiban Jing","Shiban Jing","Shiban Jing,Shih-pan Ching",41.76667,98.4,"H","WLL"
1529255,"Qinghekou","Qinghekou","",42.4,98.23333,"H","WLL"
1529296,"Nanquan","Nanquan","Lan'chyuan',Lan-ch'uan,Lan-ch’üan,Lan’chyuan’,Nan-ch'uan,Nan-ch’üan,Nanquan",40.91667,98.35,"P","PPL"
1529335,"Lu Jing","Lu Jing","Lu Ching,Lu Jing",41.86667,99.46667,"H","WLL"
1529468,"Hongliugou","Hongliugou","",41.46667,97.96667,"P","PPL"
1529469,"Hongliu Daquan","Hongliu Daquan","Hongliu Daquan,Hung-liu-ta Ch'uan,Hung-liu-ta Ch’üan,Khunlyudatsyuan Spring",40.98333,98.53333,"H","SPNG"
1529486,"Haju","Haju","Ha-chu,Haju",42.16667,98.61667,"P","PPL"
1529579,"Bor Ul Shan","Bor Ul Shan","Bor Ul Shan,Pao-erh-wu-la Shan",41.5,98.6,"T","MTS"
1529596,"Beishan","Beishan","Beishan,Pei-shan",40.75,98.63333,"P","PPL"
1783624,"Zuitou Hu","Zuitou Hu","",38.23333,103.95,"H","LK"
1783712,"Zinihu","Zinihu","Tzu-ni-hu,Zinihu",39.06667,105.4,"P","PPL"
1783713,"Zini Hu","Zini Hu","",39.1,105.45,"H","LK"
1783848,"Zhuozi Shan","Zhuozi Shan","Cho-tzu Shan,Chu-tzu-shan,Zhuozi Shan,zhuo zi shan,桌子山",39.64639,107.00833,"T","MTS"
1783849,"Zhuozi Shan","Zhuozi Shan","A-la-pu-so Shan,Alapusushan,Cho-tzu Shan,Zhuozi Shan,zhuo zi shan,桌子山",39.56797,107.03559,"T","MT"
1784142,"Zhoujiatian","Zhoujiatian","",38.75,105.68333,"P","PPL"
1784997,"Zhangzihu","Zhangzihu","",37.88333,104.76667,"P","PPL"
1785200,"Zhangjiagetai","Zhangjiagetai","",39.63333,110.36667,"P","PPL"
1785392,"Zhaijia","Zhaijia","Chai-chia,Zhaijia",37.73333,103.93333,"P","PPL"
1785608,"Yushuwan","Yushuwan","",39.4275,111.24722,"P","PPL"
